"298" "Altstadt Köpenick" "Treptow-Köpenick"
"299" "Berlin-Grünau" "Treptow-Köpenick"
"300" "Späthstr. 80/81" "Treptow-Köpenick"
"301" "Bölschestraße" "Treptow-Köpenick"
"302" "Bahnhof Schöneweide" "Treptow-Köpenick"
"303" "Schlossinsel" "Treptow-Köpenick"
"304" "Alt-Müggelheim 9" "Treptow-Köpenick"
"305" "Altstadt Köpenick" "Treptow-Köpenick"
"306" "Kietz" "Treptow-Köpenick"
"307" "Treptow-Köpenick"
"308" "Kulturzentrum Alte Schule" "Treptow-Köpenick"
"309" "Altstadt Köpenick" "Treptow-Köpenick"
"310" "Futranplatz" "Treptow-Köpenick"
"311" "Treptow-Köpenick"
"312" "Treptow-Köpenick"
"313" "Altglienicke" "Treptow-Köpenick"
"314" "Segelfliegerdamm 47a" "Treptow-Köpenick"
"315" "Späthstr. 80/81" "Treptow-Köpenick"
"316" "Alt-Müggelheim 8" "Treptow-Köpenick"
"317" "Rohrwallallee 71" "Treptow-Köpenick"
"318" "Werder/Havel"
"319" "Werder/Havel" 
"320" "Fercher Str. 60" "Petzow"
"321" "Zehdenick"
